committee_name,election_cycle,count,party
JESSE COLVIN FOR CONGRESS,2020,3,Democrat
JESSE COLVIN FOR CONGRESS,2022,3,Democrat
JESSE COLVIN FOR CONGRESS,2024,3,Democrat
KEVIN JOHNSON FOR CONGRESS,2016,3,
KEVIN JOHNSON FOR CONGRESS,2018,3,
KEVIN JOHNSON FOR CONGRESS,2020,3,
KEVIN JOHNSON FOR CONGRESS,2022,3,
KEVIN JOHNSON FOR CONGRESS,2024,3,
KWEISI MFUME FOR CONGRESS,2016,3,
KWEISI MFUME FOR CONGRESS,2018,3,
KWEISI MFUME FOR CONGRESS,2020,3,
KWEISI MFUME FOR CONGRESS,2022,3,
KWEISI MFUME FOR CONGRESS,2024,3,
LEAGUE OF CONSERVATION VOTERS ACTION FUND,2016,3,
LEAGUE OF CONSERVATION VOTERS ACTION FUND,2018,3,
LEAGUE OF CONSERVATION VOTERS ACTION FUND,2020,3,
LEAGUE OF CONSERVATION VOTERS ACTION FUND,2022,3,
LEAGUE OF CONSERVATION VOTERS ACTION FUND,2024,3,
MOVEMENT VOTER PAC,2016,3,
MOVEMENT VOTER PAC,2018,3,
MOVEMENT VOTER PAC,2020,3,
MOVEMENT VOTER PAC,2022,3,
MOVEMENT VOTER PAC,2024,3,
NATIONAL VICTORY ACTION FUND,2016,3,
NATIONAL VICTORY ACTION FUND,2018,3,
NATIONAL VICTORY ACTION FUND,2020,3,
NATIONAL VICTORY ACTION FUND,2022,3,
NATIONAL VICTORY ACTION FUND,2024,3,
STOP THESE OPPRESSIVE PEOPLE: TYRANTS RACISTS UNQUALIFIEDS MISOGYNISTS PROPAGANDISTS (STOP TRUMP),2016,3,
STOP THESE OPPRESSIVE PEOPLE: TYRANTS RACISTS UNQUALIFIEDS MISOGYNISTS PROPAGANDISTS (STOP TRUMP),2018,3,
STOP THESE OPPRESSIVE PEOPLE: TYRANTS RACISTS UNQUALIFIEDS MISOGYNISTS PROPAGANDISTS (STOP TRUMP),2020,3,
STOP THESE OPPRESSIVE PEOPLE: TYRANTS RACISTS UNQUALIFIEDS MISOGYNISTS PROPAGANDISTS (STOP TRUMP),2022,3,
STOP THESE OPPRESSIVE PEOPLE: TYRANTS RACISTS UNQUALIFIEDS MISOGYNISTS PROPAGANDISTS (STOP TRUMP),2024,3,
TIM SCOTT FOR SENATE,2016,3,
TIM SCOTT FOR SENATE,2018,3,
TIM SCOTT FOR SENATE,2020,3,
TIM SCOTT FOR SENATE,2022,3,
TIM SCOTT FOR SENATE,2024,3,
WILL JAWANDO FOR CONGRESS,2016,3,
WILL JAWANDO FOR CONGRESS,2018,3,
WILL JAWANDO FOR CONGRESS,2020,3,
WILL JAWANDO FOR CONGRESS,2022,3,
WILL JAWANDO FOR CONGRESS,2024,3,
314 ACTION FUND,2016,2,
314 ACTION FUND,2018,2,
314 ACTION FUND,2020,2,
314 ACTION FUND,2022,2,
314 ACTION FUND,2024,2,
ABBY FOR IOWA,2016,2,
ABBY FOR IOWA,2018,2,
ABBY FOR IOWA,2020,2,
ABBY FOR IOWA,2022,2,
ABBY FOR IOWA,2024,2,
AIRCRAFT OWNERS AND PILOTS ASSOCIATION POLITICAL ACTION COMMITTEE,2016,2,
AIRCRAFT OWNERS AND PILOTS ASSOCIATION POLITICAL ACTION COMMITTEE,2018,2,
AIRCRAFT OWNERS AND PILOTS ASSOCIATION POLITICAL ACTION COMMITTEE,2020,2,
AIRCRAFT OWNERS AND PILOTS ASSOCIATION POLITICAL ACTION COMMITTEE,2022,2,
AIRCRAFT OWNERS AND PILOTS ASSOCIATION POLITICAL ACTION COMMITTEE,2024,2,
ALLISON FOR CONGRESS,2016,2,
ALLISON FOR CONGRESS,2018,2,
ALLISON FOR CONGRESS,2020,2,
ALLISON FOR CONGRESS,2022,2,
ALLISON FOR CONGRESS,2024,2,
AMERICANS FOR RESPONSIBLE SOLUTIONS-PAC,2016,2,
AMERICANS FOR RESPONSIBLE SOLUTIONS-PAC,2018,2,
AMERICANS FOR RESPONSIBLE SOLUTIONS-PAC,2020,2,
AMERICANS FOR RESPONSIBLE SOLUTIONS-PAC,2022,2,
AMERICANS FOR RESPONSIBLE SOLUTIONS-PAC,2024,2,
BERNIE 2020,2016,2,
BERNIE 2020,2018,2,
BERNIE 2020,2020,2,
BERNIE 2020,2022,2,
BERNIE 2020,2024,2,
BLACK CHURCH PAC,2016,2,
BLACK CHURCH PAC,2018,2,
BLACK CHURCH PAC,2020,2,
BLACK CHURCH PAC,2022,2,
BLACK CHURCH PAC,2024,2,
CORY 2020,2016,2,
CORY 2020,2018,2,
CORY 2020,2020,2,
CORY 2020,2022,2,
CORY 2020,2024,2,
CUMMINGS FOR CONGRESS CAMPAIGN COMMITTEE,2016,2,
CUMMINGS FOR CONGRESS CAMPAIGN COMMITTEE,2018,2,
CUMMINGS FOR CONGRESS CAMPAIGN COMMITTEE,2020,2,
CUMMINGS FOR CONGRESS CAMPAIGN COMMITTEE,2022,2,
CUMMINGS FOR CONGRESS CAMPAIGN COMMITTEE,2024,2,
"DEMOCRATIC VICTORY PAC, INC.",2016,2,
"DEMOCRATIC VICTORY PAC, INC.",2018,2,
"DEMOCRATIC VICTORY PAC, INC.",2020,2,
